x,x_dot,sin_theta,cos_theta,theta_dot,control,x(t+1),X_dot(t+1),sin_theta(t+1),cos_theta(t+1),theta_dot(t+1)
-2.92764012,0.25875599,0.45347257,0.89127023,0.64759955,5.08106752,-2.92634634,0.26106201,0.45635612,0.88979722,0.65516703
-2.92634634,0.26106201,0.45635612,0.88979722,0.65516703,5.08473343,-2.92504103,0.26336811,0.4592685,0.8882975,0.66278878
-2.92504103,0.26336811,0.4592685,0.8882975,0.66278878,5.08826492,-2.92372419,0.26567439,0.46220974,0.88677063,0.67046531
-2.92372419,0.26567439,0.46220974,0.88677063,0.67046531,5.09165897,-2.92239582,0.26798099,0.46517988,0.88521618,0.67819714
-2.92239582,0.26798099,0.46517988,0.88521618,0.67819714,5.09491252,-2.92105591,0.27028802,0.46817895,0.88363367,0.68598479
-2.92105591,0.27028802,0.46817895,0.88363367,0.68598479,5.09802243,-2.91970447,0.27259564,0.47120699,0.88202266,0.69382876
-2.91970447,0.27259564,0.47120699,0.88202266,0.69382876,5.10098548,-2.9183415,0.27490397,0.47426401,0.88038267,0.70172956
-2.9183415,0.27490397,0.47426401,0.88038267,0.70172956,5.10379838,-2.91696698,0.27721318,0.47735004,0.87871323,0.70968771
-2.91696698,0.27721318,0.47735004,0.87871323,0.70968771,5.10645777,-2.91558091,0.27952343,0.48046509,0.87701385,0.7177037
-2.91558091,0.27952343,0.48046509,0.87701385,0.7177037,5.1089602,-2.91418329,0.28183489,0.48360917,0.87528405,0.72577804
-2.91418329,0.28183489,0.48360917,0.87528405,0.72577804,5.11130217,-2.91277412,0.28414774,0.48678229,0.87352333,0.73391124
-2.91277412,0.28414774,0.48678229,0.87352333,0.73391124,5.11348008,-2.91135338,0.28646218,0.48998444,0.87173118,0.74210379
-2.91135338,0.28646218,0.48998444,0.87173118,0.74210379,5.11549028,-2.90992107,0.2887784,0.49321564,0.86990708,0.75035619
-2.90992107,0.2887784,0.49321564,0.86990708,0.75035619,5.11732901,-2.90847718,0.29109661,0.49647586,0.86805053,0.75866894
-2.90847718,0.29109661,0.49647586,0.86805053,0.75866894,5.11899248,-2.90702169,0.29341704,0.4997651,0.86616098,0.76704253
-2.90702169,0.29341704,0.4997651,0.86616098,0.76704253,5.1204768,-2.90555461,0.29573993,0.50308332,0.86423791,0.77547745
